ID,Scan page,Printed page,Category,Original OCR,Correction,Context (correction in [ ]),Occurrence of context,Flag,Note,Your decision (accept / reject / edit),Your text (if edit)
458,58,42,word,accorditig,according,"as that grace belongeth unto, [according] to the counsel of God's",1,,,,
459,58,42,word,Gh'ace,Grace,"will, in His appointed time. [Grace] and salvation are, however, not",1,,,,
460,58,42,punctuation/spacing,Bap>tism,Baptism,not so inseparably annexed unto [Baptism] as that none can be,1,,,,
461,58,42,word,witJiout,without,"can be regenerated or saved [without] it, or that all that",1,,,,
462,58,42,punctuation/spacing,regenerated. — Confession,regenerated.—Confession,"that are baptized are undoubtedly [regenerated.—Confession] of Faith, Chap. xxviii, §§",1,,,,
463,58,42,punctuation/spacing,"Chap,",Chap.,"are undoubtedly regenerated.—Confession of Faith, [Chap.] xxviii, §§ 5, 6. When,",1,,,,
464,58,42,rubric mark (¶),IT,,"Chap. xxviii, §§ 5, 6. [] When, by death of the",,,,,
465,58,42,word,"othei'wise,","otherwise,","death of the parents or [otherwise,] children are removed from their",1,,,,
466,58,42,word,persoii irho,person who,"custody, the guardian or other [person who] has undertaken to rear them",1,,,,
467,58,42,word,\xe,he,"present them for Baptism, provided [he] possess the qualifications requisite for",1,,,,
468,58,42,word,ha vuig,having,"possess the qualifications requisite for [having] his own children baptized, and",1,,,,
469,58,42,word,pore?it5,parents,assume the obligations made by [parents] in the foregoing service.—Minutes of,1,,,,
470,58,42,punctuation/spacing,service. — Minutes,service.—Minutes,by parents in the foregoing [service.—Minutes] of the Synod of 1786.,1,,,,
471,59,43,word,THE ORDER FOR THE ADMINISTRATIOlSr OF BAPTISM TO ADULTS AND THEIR RECEPTION TO THE LORD'S SUPPER. H,The Order for the Administration of Baptism to Adults and Their Reception to the Lord's Supper,[The Order for the Administration of Baptism to Adults and Their Reception to the Lord's Supper] When unbaptized persons apply for,1,,,,
472,59,43,punctuation/spacing,ap>ply,apply,"Lord's Supper When unbaptized persons [apply] for admission into the Church,",1,,,,
473,59,43,punctuation/spacing,baptized. —Directory,baptized.—Directory,"the congregation; and thereupon be [baptized.—Directory] for Worship, Chap. x, §",1,,,,
474,59,43,punctuation/spacing,"Chap,",Chap.,"thereupon be baptized.—Directory for Worship, [Chap.] x, § 4. The Candidates",1,,,,
475,59,43,rubric mark (¶),H,,"Worship, Chap. x, § 4. [] The Candidates appearing before the",,,,,
476,59,43,drop capital,XTEAR,HEAR,"the Minister, he shall say, [HEAR] the Words of the Institution",1,,,,
477,59,43,word,"Sou,","Son,","the Father, and of the [Son,] and of the Holy Ghost:",2,,,,
478,59,43,word,Plis,His,"that He will number among [His] people these present Persons, truly",1,,,,
479,60,44,rubric mark (¶),H,,[] The Minister shall then say,,,,,
480,60,44,word,asfolloivs: TAEARLY,as follows: DEARLY,"and each one shall answer, [as follows: DEARLY] beloved, who are come hither",1,,,,
481,60,44,word,Ansicer.,Answer.,"sober, righteous, and godly life? [Answer.] I do. The Question here",1,,,,
482,60,44,rubric mark (¶),U,,godly life? Answer. I do. [] The Question here following is,,,,,
483,60,44,word,folloxving,following,I do. The Question here [following] is to be omitted at,1,,,,
484,60,44,word,Okder,Order,this point in case this [Order] of Baptism is used in,1,,,,
485,60,44,rubric mark (¶),\,,"of God? Answer. I do. [] Then the Minister shall say,",,,,,
486,60,44,drop capital,T^TE,WE,"shall say, Let us pray. [WE] beseech Thee, O Lord, that",1,,,,
487,60,44,word,Thj^,Thy,remain in the number of [Thy] faithful children; through Jesus Christ,1,,,,
488,61,45,rubric mark (¶),IT,,"[] Then, all present reverently standing,",,,,,
489,61,45,word,pronoiuicing,pronouncing,"kneel down, and the Minister, [pronouncing] his name, shall pour or",1,,,,
490,61,45,word,tvater,water,"name, shall pour or sprinkle [water] upon his forehead, saying, N——,",1,,,,
491,61,45,word,"his/orehead,","his forehead,","pour or sprinkle water upon [his forehead,] saying, N——, I baptize thee",1,,,,
492,61,45,punctuation/spacing,"N — -,","N——,","water upon his forehead, saying, [N——,] I baptize thee in the",1,,,,
493,61,45,punctuation/spacing,Ghost,Ghost.,"Son, and of the Holy [Ghost.] Amen. Then the Minister shall",2,,,,
494,61,45,rubric mark (¶),H,,"of the Holy Ghost. Amen. [] Then the Minister shall say,",,,,,
495,61,45,drop capital,TU'E,WE,"Then the Minister shall say, [WE] receive this Person into the",1,,,,
496,61,45,punctuation/spacing,',,into the congregation of Christ's [] flock; in the confidence that,,,,,
497,61,45,rubric mark (¶),11,,"servant unto his life's end. [] Here, if Persons who have",,,,,
498,61,45,word,tvho,who,"life's end. Here, if Persons [who] have been baptized in infancy",1,,,,
499,61,45,word,forirard;,forward;,"may be called to come [forward;] and the Minister, omitting the",1,,,,
500,61,45,word,j)TOceed ivith,proceed with,"remainder of this Order, may [proceed with] the Order for the Confirmation",1,,,,
501,61,45,punctuation/spacing,Vows,"Vows,","for the Confirmation of Baptismal [Vows,] the newly baptized persons still",1,,,,
502,61,45,rubric mark (¶),II,,in their places before him. [] Then the Minister (laying his,,,,,
503,61,45,punctuation/spacing,{laying,(laying,"before him. Then the Minister [(laying] his hand, if such be",1,,,,
504,61,45,word,xipon,upon,"if such be his discretion, [upon] the head of every one",1,,,,
505,61,45,drop capital,"""TVEFEND,","DEFEND,","kneeling before him) shall say, [DEFEND,] O Lord, this Thy Child",1,,,,
506,61,45,word,tJiis,this,"shall say, DEFEND, O Lord, [this] Thy Child with Thy heavenly",1,,,,
507,61,45,drop capital,A LMIGHTY,ALMIGHTY,"kingdom. Amen. Let us pray. [ALMIGHTY] God, our heavenly Father, we",1,,,,
508,61,45,word,heart}'-,hearty,"heavenly Father, we give Thee [hearty] thanks and praise that Thou",1,,,,
509,61,45,word,t?iese,these,"withheld Thy loving kindness from [these] Thy servants, but hast given",1,,,,
510,62,46,drop capital,I^OW,NOW,[NOW] unto Him that is able,5,,,,
511,62,46,punctuation/spacing,Saviour^,"Saviour,","the only wise God our [Saviour,] be glory and majesty, dominion",3,,,,
512,62,46,word,Ameji. II,Amen.,"power, both now and ever. [Amen.] Baptism is not to be",1,,,,
513,62,46,punctuation/spacing,"Him,. — Larger",Him.—Larger,"in Christ and obedience to [Him.—Larger] Catechism, 166.",1,,,,
514,62,46,word,IGG.,166.,"and obedience to Him.—Larger Catechism, [166.]",1,,,,
515,63,47,heading (re-cased/corrected),THE ORDER FOR THE CONFIRMATION OF BAPTISMAL VOWS AND RECEPTION TO THE LORD'S SUPPER. U,The Order for the Confirmation of Baptismal Vows and Reception to the Lord's Supper,"[The Order for the Confirmation of Baptismal Vows and Reception to the Lord's Supper] At the time appointed, the",1,,,,
516,63,47,drop capital,rpHESE,THESE,"appointed, the Minister shall say, [THESE] Persons now to be named,",1,,,,
517,63,47,word,cliil- -^ dreii,children,"be named, who are baptized [children] of the Church, have been",1,,,,
518,63,47,rubric mark (¶),If,,made for them in Baptism. [] The Minister shall then read,,,,,
519,63,47,rubric mark (¶),1,,"forward, and stand before him. [] Then addressing them, the Minister",,,,,
520,63,47,drop capital,"""PiEARLY",DEARLY,"them, the Minister shall say, [DEARLY] beloved, in your Baptism you",1,,,,
521,63,47,word,A nstaer.,Answer.,faith wherein you were baptized? [Answer.] I do. Question. Do you,1,,,,
522,63,47,word,j^'our,your,"and confirm the vows of [your] Baptism, and promise with God's",1,,,,
523,63,47,word,Ansioer.,Answer.,the days of your life? [Answer.] I do.,1,,,,
524,64,48,rubric mark (¶),If,,"[] Here, if any Adults have",,,,,
525,64,48,word,thefoUoiving,the following,Service the Minister shall address [the following] Question to them as well,1,,,,
526,64,48,word,n.s,as,the following Question to them [as] well as to those who,1,,,,
527,64,48,word,God V Ansioer.,God? Answer.,fellowship of the people of [God? Answer.] I do. Then the Minister,2,,,,
528,64,48,rubric mark (¶),If,,of God? Answer. I do. [] Then the Minister (laying his,,,,,
529,64,48,punctuation/spacing,{laying,(laying,"I do. Then the Minister [(laying] his hand, if such be",1,,,,
530,64,48,drop capital,"T^EFEND,","DEFEND,","kneeling before him) shall say, [DEFEND,] O Lord, this Thy Child",2,,,,
531,64,48,word,tliis,this,"shall say, DEFEND, O Lord, [this] Thy Child with Thy heavenly",2,,,,
532,64,48,word,CMlcl,Child,"DEFEND, O Lord, this Thy [Child] with Thy heavenly grace; that",2,,,,
533,64,48,drop capital,A LMIGHTY,ALMIGHTY,"kingdom. Amen. Let us pray. [ALMIGHTY] God, our heavenly Father, we",2,,,,
534,64,48,word,bv,by,"begun; that they, being defended [by] Thy fatherly hand, and strengthened",2,,,,
535,64,48,drop capital,AJOW,NOW,our Lord Jesus Christ. Amen. [NOW] unto Him that is able,3,,,,
536,65,49,rubric mark (¶),H,,[] Children born within the pale,,,,,
537,65,49,word,"Ba2)tism,","Baptism,","and dedicated to God in [Baptism,] are under the inspection and",1,,,,
538,65,49,word,ins2oection and.,inspection and,"in Baptism, are under the [inspection and] government of the Church; and",1,,,,
539,65,49,punctuation/spacing,"Ca'techism,","Catechism,","to read and repeat the [Catechism,] the Apostles' Creed, and the",1,,,,
540,65,49,punctuation/spacing,"and,",and,"the Catechism, the Apostles' Creed, [and] the Lord's Prayer. They are",1,,,,
541,65,49,punctuation/spacing,they'come,they come,"Lord Jesus Christ. And when [they come] to years of discretion, if",1,,,,
542,65,49,word,a2yp>ear,appear,"they be free from scandal, [appear] sober and steady, and to",1,,,,
543,65,49,word,knoivledge,knowledge,"steady, and to have sufficient [knowledge] to discern the Lord's body,",1,,,,
544,65,49,word,pt^'ivilege,privilege,it is their duty and [privilege] to come to the Lord's,1,,,,
545,65,49,punctuation/spacing,Supper. — 'Directory,Supper.—Directory,"to come to the Lord's [Supper.—Directory] for Worship, Chap. x, §",1,,,,
546,65,49,word,"'Worship, Cliap. x,§l. IT","Worship, Chap. x, § 1.","to the Lord's Supper.—Directory for [Worship, Chap. x, § 1.] The years of discretion in",1,,,,
547,65,49,punctuation/spacing,them. — Directory,them.—Directory,"to admit young Christians to [them.—Directory] for Worship, Chap. x, §",1,,,,
548,65,49,punctuation/spacing,"Chap,",Chap.,"Christians to them.—Directory for Worship, [Chap.] x, § 2. A public",1,,,,
549,65,49,rubric mark (¶),U,,"Worship, Chap. x, § 2. [] A public Service for the",,,,,
550,65,49,word,Comonunion,Communion,of baptized persons to the [Communion] is not to be regarded,1,,,,
551,65,49,punctuation/spacing,"regarded,",regarded,Communion is not to be [regarded] as a part of either,1,,,,
552,65,49,word,invanable,invariable,"either Sacrament, nor as an [invariable] condition of their admission to",1,,,,
553,65,49,word,u'hen,when,in ordinary cases; the occasions [when] it may be necessary or,1,,,,
554,65,49,word,judg7ne7it,judgment,left to the prudence and [judgment] of the Officers of the,1,,,,
555,66,50,heading (re-cased/corrected),AN ORDER FOR THE RECEPTION OF COMMUNICANTS FROM OTHER CHURCHES. U,An Order for the Reception of Communicants from Other Churches,[An Order for the Reception of Communicants from Other Churches] This Order may be used,1,,,,
556,66,50,rubric mark (¶),U,,Service preparatory to the Communion. [] If Communicants are received from,,,,,
557,66,50,word,Commutiicants,Communicants,"preparatory to the Communion. If [Communicants] are received from other Churches,",1,,,,
558,66,50,drop capital,T^EARLY,DEARLY,"rise, may address them, saying: [DEARLY] beloved, Having before made public",1,,,,
559,66,50,word,IT The7i,Then,to its government and discipline. [Then] the Minister may bid all,1,,,,
560,66,50,word,chxirch,church,"all the Members of the [church] to rise, and speaking for",1,,,,
561,66,50,drop capital,TN,IN,"for them, he shall say, [IN] the Name of the Lord",1,,,,
562,66,50,word,Ame7i.,Amen.,of our Lord Jesus Christ. [Amen.],5,,,,
563,67,51,heading (re-cased/corrected),THE ORDER FOR THE SOLEMNIZATION OF MARRIAGE. ^,The Order for the Solemnization of Marriage,[The Order for the Solemnization of Marriage] Forasmuch as Marriage is a,1,,,,
564,67,51,word,himian,human,"sacred relation, the ground of [human] fellowship and society, and most",1,,,,
565,67,51,word,xirecious,precious,"fellowship and society, and most [precious] to mankind; although it be",1,,,,
566,67,51,word,Sacrcimetit,Sacrament,although it be not a [Sacrament] nor peculiar to the Church,1,,,,
567,67,51,word,ijeculiar,peculiar,"be not a Sacrament nor [peculiar] to the Church of Christ,",1,,,,
568,67,51,word,lawfal,lawful,"it be solemnized by a [lawful] Minister, that he may give",1,,,,
569,67,51,word,hohj,holy,"of God to those entering [holy] wedlock, and invoke the Divine",1,,,,
570,67,51,rubric mark (¶),H,,the Divine blessing upon them. [] The Persons to be married,,,,,
571,67,51,word,J'ersons,Persons,Divine blessing upon them. The [Persons] to be married shall present,1,,,,
572,67,51,punctuation/spacing,apostles.,"apostles,","unto his wife. By His [apostles,] He has instructed those who",1,,,,
573,68,52,rubric mark (¶),IT,,"[] Then, speaking unto the Persons",,,,,
574,68,52,word,T,I,"be married, he shall say, [I] CHARGE you both, before the",1,,,,
575,68,52,rubric mark (¶),IT,,"is not blessed by Him. [] Then, if no impediment appear,",,,,,
576,68,52,drop capital,A LMIGHTY,ALMIGHTY,"shall say, Let us pray. [ALMIGHTY] and ever blessed God, whose",1,,,,
577,68,52,punctuation/spacing,new^,new,"Thy Spirit, giving them a [new] frame of heart fit for",1,,,,
578,68,52,word,ncAV,new,of heart fit for their [new] estate; and enrich them with,1,,,,
579,68,52,rubric mark (¶),H,,our Lord Jesus Christ. Amen. [] Then the Minister shall say,,,,,
580,68,52,drop capital,"\i\,","M——,","shall say to the Man, [M——,] wilt thou have this Woman",1,,,,
581,68,52,punctuation/spacing,^^^,,"to be thy wife, and [] wilt thou pledge thy troth",,,,,
582,69,53,rubric mark (¶),t,,[] Then the Minister shall say,,,,,
583,69,53,drop capital,"""^,","N——,","shall say to the Woman, [N——,] wilt thou have this Man",1,,,,
584,69,53,punctuation/spacing,-^^,,"to be thy husband, and [] wilt thou pledge thy troth",,,,,
585,69,53,rubric mark (¶),H,,"Woman shall answer, I will. [] Then the Minister may say,",,,,,
586,69,53,word,tnay,may,"I will. Then the Minister [may] say, WHO giveth this Woman",1,,,,
587,69,53,drop capital,TyHO,WHO,"Then the Minister may say, [WHO] giveth this Woman to be",1,,,,
588,69,53,rubric mark (¶),IT,,"be married to this Man? [] Then the father, (or guardian",,,,,
589,69,53,punctuation/spacing,{or,(or,"this Man? Then the father, [(or] guardian or any friend,) of",1,,,,
590,69,53,drop capital,T,"I,","say after him as follows: [I,] M., take thee N., To",,,,,
591,69,53,punctuation/spacing,witnesses.,"witnesses,","covenant, Before God and these [witnesses,] To be thy loving and",1,,,,
592,69,53,punctuation/spacing,husband.,"husband,","be thy loving and faithful [husband,] In plenty and in want,",1,,,,
593,69,53,punctuation/spacing,want.,"want,","husband, In plenty and in [want,] In joy and in sorrow,",1,,,,
594,69,53,punctuation/spacing,sorrow.,"sorrow,","want, In joy and in [sorrow,] In sickness and in health,",1,,,,
595,69,53,word,"live, H",live.,long as we both shall [live.] Then shall they loose their,1,,,,
596,69,53,drop capital,"T iV.,","I, N.,","likewise say after the Minister: [I, N.,] take thee M., To be",,,,,
597,69,53,word,"3/.,","M.,","Minister: I, N., take thee [M.,] To be my wedded husband;",,,,,
598,69,53,word,^9,,"wedded husband; And I do [] promise and covenant, Before God",,,,,
599,69,53,punctuation/spacing,witnesses.,"witnesses,","covenant, Before God and these [witnesses,] To be thy loving and",1,,,,
600,69,53,punctuation/spacing,sorrow.,"sorrow,","want, In joy and in [sorrow,] In sickness and in health,",1,,,,
601,69,53,rubric mark (¶),H,,"as we both shall live. [] Then, if a Ring be",,,,,
602,69,53,word,Riiig,Ring,"shall live. Then, if a [Ring] be provided, it shall be",1,,,,
603,69,53,word,xvho,who,"be given to the Minister, [who] shall return it to the",1,,,,
604,69,53,punctuation/spacing,uponthe,upon the,who shall then put it [upon the] fourth finger of the Woman's,1,,,,
605,69,53,drop capital,T^HIS,THIS,"hand, saying after the Minister, [THIS] Ring I give thee, In",1,,,,
606,69,53,punctuation/spacing,pledge.,"pledge,","give thee, In token and [pledge,] Of our constant faith, And",1,,,,
607,70,54,rubric mark (¶),IT,,"[] Then the Minister shall say,",,,,,
608,70,54,drop capital,1\/r08T,MOST,"shall say, Let us pray. [MOST] merciful and gracious God, of",1,,,,
609,70,54,word,iu,in,of whom the whole family [in] heaven and earth is named;,1,,,,
610,70,54,word,\ipon,upon,and earth is named; Bestow [upon] these Thy servants the seal,1,,,,
611,70,54,drop capital,/^UR,OUR,"Jesus Christ our Lord. Amen. [OUR] Father which art in heaven,",1,,,,
612,70,54,punctuation/spacing,earth.,"earth,","Thy will be done in [earth,] As it is in heaven.",5,,,,
613,70,54,punctuation/spacing,debts.,"debts,","bread. And forgive us our [debts,] As we forgive our debtors.",5,,,,
614,70,54,rubric mark (¶),U,,"the glory, for ever. Amen. [] Then shall the Minister say",,,,,
615,70,54,drop capital,T>Y,BY,"unto all who are present, [BY] the authority committed unto me",1,,,,
616,70,54,word,"AVife,","Wife,","N. are now Husband and [Wife,] according to the ordinance of",1,,,,
617,70,54,word,SoU;,"Son,","the Father, and of the [Son,] and of the Holy Ghost.",4,,,,
618,70,54,rubric mark (¶),H,,"of the Holy Ghost. Amen. [] Then, causing the Husband and",,,,,
619,70,54,drop capital,"""VyHOM",WHOM,"hands, the Minister shall say, [WHOM] therefore God hath joined together,",1,,,,
620,70,54,rubric mark (¶),IT,,let no man put asunder. [] And the Minister shall pronounce,,,,,
621,70,54,word,j^ou,you,countenance upon you and give [you] peace: Both now and in,1,,,,
622,70,54,word,Ame?i.,Amen.,and in the life everlasting. [Amen.],1,,,,
623,71,55,heading (re-cased/corrected),THE ORDER FOR THE BURIAL OF THE DEAD. 1,The Order for the Burial of the Dead,[The Order for the Burial of the Dead] When all are assembled in,1,,,,
624,71,55,word,ivith,with,Minister shall begin the Service [with] one or more of these,1,,,,
625,71,55,word,SenTE>rcES /rom,Sentences from,one or more of these [Sentences from] the Holy Scriptures. OUR help,1,,,,
626,71,55,drop capital,/'^UR,OUR,Sentences from the Holy Scriptures. [OUR] help is in the Name,1,,,,
627,71,55,punctuation/spacing,heaven^and,heaven and,"of the Lord, who made [heaven and] earth. (Psalm cxxiv. 8.) FOR",1,,,,
628,71,55,punctuation/spacing,{Psalm,(Psalm,who made heaven and earth. [(Psalm] cxxiv. 8.) FOR we are,1,,,,
629,71,55,drop capital,'''^ I^OR,FOR,and earth. (Psalm cxxiv. 8.) [FOR] we are strangers before Thee,1,,,,
630,71,55,drop capital,A LL,ALL,"abiding. (1 Chronicles xxix. 15.) [ALL] flesh is grass, and all",1,,,,
631,71,55,punctuation/spacing,{Isaiah,(Isaiah,God shall stand for ever. [(Isaiah] xl. 6-8.) LIKE as a,1,,,,
632,71,55,drop capital,T IKE,LIKE,for ever. (Isaiah xl. 6-8.) [LIKE] as a father pitieth his,1,,,,
633,71,55,punctuation/spacing,{Psalm,(Psalm,"remembereth that we are dust. [(Psalm] ciii. 13, 14.) I AM",1,,,,
634,71,55,word,T,I,"dust. (Psalm ciii. 13, 14.) [I] AM the Resurrection, and the",1,,,,
635,71,55,punctuation/spacing,believe th,believeth,"and the Life: he that [believeth] in Me, though he were",1,,,,
636,71,55,word,belleveth,believeth,live: and whosoever liveth and [believeth] in Me shall never die.,1,,,,
637,71,55,punctuation/spacing,{St.,(St.,"in Me shall never die. [(St.] John xi. 25, 26.) Then",1,,,,
638,71,55,word,26. ) t,26.),"die. (St. John xi. 25, [26.)] Then let the Minister say,",1,,,,
639,71,55,rubric mark (¶),t,,"Minister say, Let us pray. [] Then shall he lead the",,,,,
640,71,55,word,usiuf/,using,"the People in the Invocation, [using] if he will one of",1,,,,
641,71,55,punctuation/spacing,following),following,"he will one of the [following] Prayers, and ending with the",1,,,,
642,71,55,word,ivith,with,"the following Prayers, and ending [with] the Lord's Prayer. ALMIGHTY God,",1,,,,
643,72,56,word,56 THE BURIAL OF THE DEAD. A LMIGHTY,ALMIGHTY,"[ALMIGHTY] God, our heavenly Father, who",2,,,,
644,72,56,word,"mercj',","mercy,","grace, that we may obtain [mercy,] and find grace to help",2,,,,
645,72,56,drop capital,r^UR,OUR,"Jesus Christ our Lord. Amen. [OUR] Father in heaven, whose pity",1,,,,
646,72,56,word,inlinite,infinite,"in heaven, whose pity is [infinite] and whose will is sovereign;",1,,,,
647,72,56,word,wemaj^have,we may have,and comfort of the Scriptures [we may have] hope; and grant us the,1,,,,
648,72,56,drop capital,r^UR,OUR,"Jesus Christ our Lord. Amen. [OUR] Father which art in heaven,",1,,,,
649,72,56,punctuation/spacing,heaven.,"heaven,","OUR Father which art in [heaven,] Hallowed be Thy Name. Thy",6,,,,
650,72,56,rubric mark (¶),H,,"the glory, for ever. Amen. [] Then let one or more",,,,,
651,72,56,word,foUoimng,following,"one or more of the [following] Psalms be chanted or read,",1,,,,
652,72,56,drop capital,"T ORI),","LORD,","Gloria Patri: Psalm xxxix. 4-13. [LORD,] make me to know mine",1,,,,
653,72,56,word,tliou,thou,"how frail I am. Behold, [thou] hast made my days as",1,,,,
654,72,56,punctuation/spacing,heapethup,heapeth up,"are disquieted in vain: he [heapeth up] riches, and knoweth not who",1,,,,
655,72,56,punctuation/spacing,now.,"now,","who shall gather them. And [now,] Lord, what wait I for:",1,,,,
656,73,57,word,tliy,thy,unto my cry; hold not [thy] peace at my tears: for,1,,,,
657,73,57,drop capital,"T ORD,","LORD,","be no more. Psalm xc. [LORD,] thou hast been our dwelling",1,,,,
658,73,57,punctuation/spacing,genera^ tions.,generations.,our dwelling place: in all [generations.] Before the mountains were brought,1,,,,
659,74,58,word,80,So,[So] teach us to number our,1,,,,
660,74,58,word,0,O,repent thee concerning thy servants. [O] satisfy us early with thy,1,,,,
661,74,58,word,cm.,ciii.,Burial of a Child. Psalm [ciii.] 13-18. LIKE as a father,1,,,,
662,74,58,drop capital,T IKE,LIKE,a Child. Psalm ciii. 13-18. [LIKE] as a father pitieth his,1,,,,
663,74,58,word,tlourisheth.,flourisheth.,"of the field, so he [flourisheth.] For the wind passeth over",1,,,,
664,74,58,word,tlie,the,more. But the mercy of [the] Lord is from everlasting to,1,,,,
665,74,58,word,iiis,his,and to those that remember [his] commandments to do them. Psalm,1,,,,
666,74,58,drop capital,/^UT,OUT,to do them. Psalm cxxx. [OUT] of the depths have I,1,,,,
667,74,58,punctuation/spacing,^^,,"cried: unto thee, O Lord. [] Lord, hear my voice: let",,,,,
668,74,58,word,tt),to,let Thine ears be attentive [to] the voice of my supplications.,1,,,,
669,75,59,punctuation/spacing,may est,mayest,forgiveness with thee: that thou [mayest] be feared. I wait for,1,,,,
670,75,59,word,jVIy,My,his word do I hope. [My] soul waiteth for the Lord,1,,,,
671,75,59,drop capital,fT^HE,THE,all his iniquities. Psalm xxiii. [THE] Lord is my shepherd: I,1,,,,
672,75,59,word,/'3 -^,,shepherd: I shall not want. [] He maketh me to lie,,,,,
673,75,59,rubric mark (¶),U,,"be: world without end. Amen. [] If so desired, a Hymn",,,,,
674,75,59,word,Antliem,Anthem,"so desired, a Hymn or [Anthem] may here be sung. Then",1,,,,
675,75,59,word,•ij 'I'hen,Then,Anthem may here be sung. [Then] let the Minister read one,1,,,,
676,75,59,word,followiny,following,"Minister read one of the [following] Lessons from the Holy Scriptures,",1,,,,
677,75,59,word,ComNTiiiANS XV.,Corinthians xv.,our admonition and comfort. 1 [Corinthians xv.] 20-28; 35-58. NOW is Christ,1,,,,
678,75,59,drop capital,^OW,NOW,1 Corinthians xv. 20-28; 35-58. [NOW] is Christ risen from the,1,,,,
679,75,59,punctuation/spacing,first-^ fruits,first-fruits,"the dead, and become the [first-fruits] of them that slept. For",1,,,,
680,76,60,word,wiien,when,"coming. Then cometh the end, [when] he shall have delivered up",1,,,,
681,76,60,punctuation/spacing,w^hen,when,"to God, even the Father; [when] he shall have put down",1,,,,
682,76,60,word,wiien,when,"things under his feet. But [when] he saith, All things are",1,,,,
683,76,60,word,Sou,Son,"unto him, then shall the [Son] also himself be subject unto",1,,,,
684,76,60,punctuation/spacing,ma.y,may,"things under him, that God [may] be all in all. But",1,,,,
685,76,60,word,sa}'.,"say,","all. But some man will [say,] How are the dead raised",1,,,,
686,76,60,word,w^hat bod)',what body,"dead raised up? and with [what body] do they come? Thou fool,",1,,,,
687,76,60,punctuation/spacing,w^hich,which,"except it die. And that [which] thou sowest, thou sowest not",1,,,,
688,76,60,heading (re-cased),"Weakness,","weakness,","glory: it is sown in [weakness,] it is raised in power:",1,,,,
689,76,60,word,"bod}',","body,","it is sown a natural [body,] it is raised a spiritual",1,,,,
690,77,61,word,"incorruptiWe,","incorruptible,","the dead shall be raised [incorruptible,] and we shall be changed.",1,,,,
691,77,61,punctuation/spacing,written.,"written,","pass the saying that is [written,] Death is swallowed up in",1,,,,
692,77,61,rubric mark (¶),H,,in vain in the Lord. [] Or this: St. John xiv.,,,,,
693,77,61,punctuation/spacing,1-3.,"1-3,","Or this: St. John xiv. [1-3,] 15-20, 25-27; 1 Thessalonians iv.",1,,,,
694,77,61,word,25-2?;,25-27;,"St. John xiv. 1-3, 15-20, [25-27;] 1 Thessalonians iv. 13, and",1,,,,
695,77,61,heading (re-cased),IV.,iv.,"1-3, 15-20, 25-27; 1 Thessalonians [iv.] 13, and v. 1-11. LET",1,,,,
696,77,61,heading (re-cased/corrected),AND V. 1-11 T ET,and v. 1-11. LET,"25-27; 1 Thessalonians iv. 13, [and v. 1-11. LET] not your heart be troubled:",,,,,
697,77,61,punctuation/spacing,-^,,"ye believe in God, believe [] also in me. In my",,,,,
698,77,61,word,seetli,seeth,"world cannot receive, because it [seeth] him not, neither knoweth him:",1,,,,
699,77,61,punctuation/spacing,dwelleth-,dwelleth,"ye know him; for he [dwelleth] with you, and shall be",1,,,,
700,77,61,word,"W.^i""^ """"",,"me, and I in you. [] These things have I spoken",,,,,
701,78,62,word,uuto,unto,"you, my peace I give [unto] you: not as the world",1,,,,
702,78,62,word,T,I,neither let it be afraid. [I] WOULD not have you to,1,,,,
703,78,62,punctuation/spacing,w^e,we,"word of the Lord, that [we] which are alive and remain",1,,,,
704,78,62,word,lise,rise,the dead in Christ shall [rise] first: then we which are,1,,,,
705,78,62,word,knov^^,know,"write unto you. For yourselves [know] perfectly, that the day of",1,,,,
706,78,62,word,cometli,cometh,day of the Lord so [cometh] as a thief in the,1,,,,
707,79,63,rubric mark (¶),H,,"[] Or this: Revelation xxi. 1-4,",,,,,
708,79,63,drop capital,A ND,AND,"xxi. 1-4, 22-27; xxii. 1-7. [AND] I saw a new heaven",1,,,,
709,79,63,word,people^nd,"people, and","and they shall be his [people, and] God himself shall be with",1,,,,
710,79,63,punctuation/spacing,^And,And,"them, and be their God. [And] God shall wipe away all",1,,,,
711,79,63,word,away .If,away.,the former things are passed [away.] And I saw no temple,1,,,,
712,79,63,word,xVnd,And,the healing of the nations. [And] there shall be no more,1,,,,
713,79,63,punctuation/spacing,me.,"me,","ever. And he said unto [me,] These sayings are faithful and",1,,,,
714,80,64,word,aud,and,true: [and] the Lord God of the,1,,,,
715,80,64,word,ano;el,angel,the holy prophets sent his [angel] to shew unto his servants,1,,,,
716,80,64,word,shordy,shortly,"servants the things which must [shortly] be done. Behold, I come",1,,,,
717,80,64,drop capital,"""TiAVID",DAVID,Child. 2 Samuel xii. 16-23. [DAVID] therefore besought God for the,1,,,,
718,80,64,punctuation/spacing,^-^,,"for the child; and David [] fasted, and went in, and",,,,,
719,80,64,punctuation/spacing,said.,"said,","child was dead: for they [said,] Behold, while the child was",1,,,,
720,80,64,word,\mto,unto,and he would not hearken [unto] our voice: how will he,1,,,,
721,80,64,word,aud,and,"was dead, thou didst rise [and] eat bread. And he said,",1,,,,
722,80,64,punctuation/spacing,said.,"said,","fasted and wept: for I [said,] Who can tell whether God",1,,,,
723,80,64,punctuation/spacing,-'^,,"children to him, that he [] should touch them: and his",,,,,
